blockNumber,min,median,max,volume_USDC,volume_wETH
26433636,195672,195678,195681,39626.92990899999,12.470443602624014
26433786,195678,195680,195681,8073.904082,2.5393236571111055
26433936,195678,195679,195681,9668.790757,3.0435884344461934
26434086,195678,195680,195682,31242.356646,9.830565141347435
26434236,195678,195679,195679,2620.167122,0.8248070767661542
26434386,195679,195682,195687,30802.157123999994,9.69996331882586
26434536,195688,195692.5,195696,33201.351306,10.465120201728437
26434686,195697,195709.5,195711,59575.240904,18.800955968649472
26434836,195708,195709,195711,10859.415326,3.425689988674605
26434986,195493,195588.5,195706,1121792.997808,349.6920120946446
26435136,195500,195517,195538,743073.939382,230.02484022132305
26435286,195507,195528,195547,321558.72473599995,99.66677772698499
26435436,195482,195495,195518,334564.5515359999,103.3711558167423
26435586,195483,195494,195502,115847.18736499999,35.78083925629853
26435736,195461,195494.5,195503,237381.56333700006,73.25069655203889
